class;text
0;I slept like a rock last night.
0;These high heels are killing me.
0;Be careful, it’s a jungle out there.
0;You’re as light as a feather.
0;I’m drowning in paperwork.
0;There are a million other things to do.
0;The person in front of me walked as slow as a turtle.
0;He’s running around like a chicken without a head.
0;It’s as windy as a hurricane outside.
0;My purse weighs a ton.
0;I’m so tired I could sleep a million years.
0;That was the easiest test in the world.
0;My mom made enough food to feed an army last night.
0;He drove faster than a speeding bullet.
0;I love you to the moon and back.
0;I’m on cloud nine right now.
0;When they met, there were fireworks in their eyes.
0;I could smell those cookies from a mile away.
0;The food was so hot my ears are smoking.
0;Cry me a river.
0;The whole world was staring at me.
0;The house costs us an arm and a leg to build.
0;I’ve seen that movie a thousand times.
0;I would move mountains for some coffee right now.
0;I’m so broke. I don’t have two cents to rub together.
0;You knocked that assignment out of the park.
0;I’ll believe you when pigs fly.
0;I would walk 500 miles just to be with you. 
0;If you eat that, your tongue will fall off.
0;His garlic breath could knock over an elephant.
0;He’s running faster than the wind.
0;This bag weighs a ton.
0;That man is as tall as a house.
0;This is the worst day of my life.
0;The shopping cost me a million dollars.
0;My dad will kill me when he comes home.
0;Your skin is softer than silk.
0;She’s as skinny as a toothpick.
0;She was so happy, her smile was a mile wide.
0;The footballer is the best player of all time.
0;I’m so hungry I could eat a horse.
0;It’s impossible to complete this puzzle.
0;Next Friday is never going to arrive.
0;I’ve read this book a hundred times.
0;My hand hurts so much it’s going to drop off.
0;My brother is stronger than iron.
0;She’s my guardian angel.
0;Your brain is the size of a pea.
0;I’m so sad that I’m drowning in tears.
0;The leaves are dancing in the breeze.
1;Floodings might become more frequent as the planet's temperature rises.
1;Supersaurus might be the longeest dinosaur that ever lived
1;Tesla owners are warned by police that they might be targeted by professional thieves
1;The future of food shopping might be plastic-free
1;Near-Earth Asteroid might be a lost fragment of the moon
1;Coffee and tea drinking may be associated with reduced rates of stroke and dementia.
1;Drinking coffee or tea may be associated with a lower risk of stroke and dementia, according to a study of healthy individuals aged 50-74
1;TP53 CHIP Variants Might Be Associated With Therapy-Related Myeloid Neoplasms Post-Rucaparib in High-Grade Ovarian Cancer
1;A retrospective study suggests that there might be an association between pre-existing
1;Furthermore, considering the research solely focused on CHIP variants with a VAF of 1% or greater, the significance of variants with a VAF of less than 1% remains unclear.
1;Cramer suggests investors target stocks with growing sales and expanding margins
1;UK study suggests Delta subvariant less likely to cause symptoms
1;The researchers said that asymptomatic people might self-isolate less, but also that people with fewer symptoms might spread it less easily through coughing and also may be unlikely to get severely ill.
1;It is preferentially appearing to be more transmissible
1;It does seem to be less symptomatic
1;Lawyer for Hannah Gutierrez says ‘disgruntled’ person could have placed live round in box of dummy rounds
1;Attorney for Rust armorer suggests sabotage on set of Baldwin shooting
1;We’re afraid that could have been what happened here
1;I think this is the beginning of the discussion.
1;I don’t think this is the end of the story
1;Young progressives warn that Democrats could have a youth voter problem in 2022
1;UK police: Taxi bomb could have caused 'significant' harm
1;Facebook Messenger and Instagram may not get default end-to-end encryption until 2023
1;Poland says Belarus border crisis may be prelude to "something worse"
1;I think that the things that unfold before our eyes, these dramatic events, may only be a prelude to something much worse
1;The situation in Afghanistan after the Taliban takeover may be used as the next stage of the migration crisis
1;Disney Stock May Be Poised For A Big Rebound
1;Anti-Inflammatory Diet May Affect Physical Functioning in RA
1;Strokes are life-threatening events which cause 10 percent of deaths globally.
1;Post-stroke dementia is a condition where symptoms of dementia occur after a stroke.
1;The study is limited by its retrospective design.
1;It’s awfully hard to go wrong when you bet on companies with strong sales growth and rising gross margins
1;Everybody loves revenue growth
1;The REACT-1 study also found that booster doses reduced the risk of infection in adults by two-thirds compared with people who had two doses.
1;And we know that people had already walked off the set the day before
1;'Mix and match' Covid vaccine boosters are effective, NIH study finds
1;Those who were originally vaccinated with the Pfizer or Moderna vaccines and received either company’s booster shot produced similarly strong immune responses, the researchers found.
1;Antibody levels in people who were originally vaccinated with Johnson & Johnson’s single shot were about five times higher after they received matching Johnson & Johnson boosters.
1;The sample size is insufficient for inter-group comparisons, and the demographics of those studied are not representative of the U.S. population.
1;Police have also confirmed that Al Swealmeen was treated in the past for mental illness.
1;A poll published by Poland's Rzeczpospolita daily on Sunday said 55% of Poles are worried the crisis on the border could escalate into an armed conflict.
1;But Morawiecki warned the crisis was far from over as he toured Estonia, Lithuania and Latvia on Sunday to discuss the situation.
1;Disney shares plunged following quarterly results last week.
1;A new controlled crossover study found a diet based on anti-inflammatory foods did not have a significant impact on health-related quality of life
1;Overall, according to corresponding author Anna Winkvist, PhD, MSc, of the University of Gothenburg, the anti-inflammatory diet did not significantly improve
1;On the positive side, Winkvist and colleagues said they had a high rate of fidelity to the study protocols, both in terms of diet compliance and survey participation.
1;NC's Next Federal Prosecutors Confirmed by US Senate
1;President Joe Biden’s nominees to become North Carolina’s top federal prosecutors have been confirmed the U.S. Senate.
1;Results have been proven
1;The results are uncontestable
1;No further problems were found in their systems
